district_code,district_name,block_code,block_name,udise,name,management,category,type
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101015,RESHAMBAGAN H/S SCHOOL,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101110,ABHOYNAGAR N.S VIDYALAYA HS,11-State Govt. Managed,3 - Pr. with Up.Pr. sec. and H.Sec.,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101111,NEW MODEL VILLAGE  HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101209,BHATI ABHOYNAGAR GIRLS' SB SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101212,ABHOYNAGAR S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101310,BHATI ABHOYNAGAR P.P S.B,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101312,MULLA PARA JB SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101313,NAZRUL ISLAM S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101315,HRISHI COL. J.B SCHOOL,11-State Govt. Managed,1 - Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101508,KALIKAPUR S.B SCHOOL,11-State Govt. Managed,2 - Primary with Upper Primary,3-Co-ed
1601,WEST TRIPURA ,160101,AGARTALA MUNICIPAL COORPORATION ,16010101607,RAMNAGAR GIRLS' HIGH SCHOOL,11-State Govt. Managed,6 - Pr. Up Pr. and Secondary Only,3-Co-ed
